experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
sensitivity,sens_rho075,MF_800_08,1,3612,2396,2400,2.190,60.462,46.551,254000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_800_08,2,3612,2396,2400,1.750,60.442,46.783,252000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_800_08,3,3612,2397,2400,1.840,60.614,46.879,252000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_1000_03,1,4643,2998,3000,3.630,60.418,46.278,230000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_1000_03,2,4643,2998,3000,2.520,60.735,46.520,232000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_1000_03,3,4643,2998,3000,4.600,60.730,46.489,232000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_1000_08,1,4572,2998,3000,2.010,60.380,46.283,230000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_1000_08,2,4572,2998,3000,1.990,60.493,46.187,232000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_1000_08,3,4572,2997,3000,2.070,60.705,46.721,234000,1024,60,e34fc94dd8
sensitivity,sens_pert05,O_800_03,1,4107,2399,2400,3.020,60.318,44.450,280000,1024,60,c9662df974
sensitivity,sens_pert05,O_800_03,2,4107,2400,2400,2.080,60.635,44.870,282000,1024,60,c9662df974
sensitivity,sens_pert05,O_800_03,3,4107,2400,2400,2.540,60.311,44.507,280000,1024,60,c9662df974
sensitivity,sens_pert05,O_800_08,1,4063,2400,2400,1.290,60.641,44.484,284000,1024,60,c9662df974
sensitivity,sens_pert05,O_800_08,2,4063,2399,2400,1.680,60.359,44.620,284000,1024,60,c9662df974
sensitivity,sens_pert05,O_800_08,3,4063,2400,2400,1.310,60.378,44.430,284000,1024,60,c9662df974
sensitivity,sens_pert05,O_1000_03,1,5178,3000,3000,4.630,60.329,43.457,256000,1024,60,c9662df974
sensitivity,sens_pert05,O_1000_03,2,5178,3000,3000,3.670,60.421,43.484,256000,1024,60,c9662df974
sensitivity,sens_pert05,O_1000_03,3,5178,3000,3000,3.250,60.617,43.618,258000,1024,60,c9662df974
sensitivity,sens_pert05,O_1000_08,1,5191,3000,3000,2.480,60.377,43.950,256000,1024,60,c9662df974
sensitivity,sens_pert05,O_1000_08,2,5191,3000,3000,2.350,60.317,43.875,256000,1024,60,c9662df974
sensitivity,sens_pert05,O_1000_08,3,5191,3000,3000,3.210,60.655,44.201,258000,1024,60,c9662df974
sensitivity,sens_pert05,LK_800_03,1,4257,3063,4000,1.940,60.452,56.600,350000,1024,60,c9662df974
sensitivity,sens_pert05,LK_800_03,2,4257,3071,4000,1.650,60.455,56.483,350000,1024,60,c9662df974
sensitivity,sens_pert05,LK_800_03,3,4257,3048,4000,1.570,60.506,56.563,350000,1024,60,c9662df974
sensitivity,sens_pert05,LK_800_08,1,4158,2992,4000,17.440,60.474,56.512,346000,1024,60,c9662df974
sensitivity,sens_pert05,LK_800_08,2,4158,2969,4000,5.050,60.510,56.663,342000,1024,60,c9662df974
sensitivity,sens_pert05,LK_800_08,3,4158,2973,4000,4.360,60.335,56.496,340000,1024,60,c9662df974
sensitivity,sens_pert05,LK_1000_03,1,5395,3794,5000,2.780,60.450,56.675,332000,1024,60,c9662df974
sensitivity,sens_pert05,LK_1000_03,2,5395,3835,5000,2.510,60.561,56.720,332000,1024,60,c9662df974
sensitivity,sens_pert05,LK_1000_03,3,5395,3832,5000,2.480,60.327,56.505,332000,1024,60,c9662df974
sensitivity,sens_pert05,LK_1000_08,1,5394,3872,5000,5.760,60.380,56.596,328000,1024,60,c9662df974
sensitivity,sens_pert05,LK_1000_08,2,5394,3879,5000,2.840,60.637,56.793,330000,1024,60,c9662df974
sensitivity,sens_pert05,LK_1000_08,3,5394,3872,5000,3.160,60.437,56.675,328000,1024,60,c9662df974
sensitivity,sens_pert05,MF_800_03,1,3672,2400,2400,1.360,60.585,47.695,252000,1024,60,c9662df974
sensitivity,sens_pert05,MF_800_03,2,3672,2400,2400,1.490,60.673,47.712,252000,1024,60,c9662df974
sensitivity,sens_pert05,MF_800_03,3,3672,2400,2400,1.440,60.648,47.579,252000,1024,60,c9662df974
sensitivity,sens_pert05,MF_800_08,1,3612,2396,2400,1.830,60.532,46.806,252000,1024,60,c9662df974
sensitivity,sens_pert05,MF_800_08,2,3612,2396,2400,1.770,60.625,46.999,252000,1024,60,c9662df974
sensitivity,sens_pert05,MF_800_08,3,3612,2396,2400,1.740,60.355,46.584,250000,1024,60,c9662df974
sensitivity,sens_pert05,MF_1000_03,1,4643,2999,3000,7.600,60.635,46.644,232000,1024,60,c9662df974
sensitivity,sens_pert05,MF_1000_03,2,4643,2998,3000,3.050,60.405,46.245,230000,1024,60,c9662df974
sensitivity,sens_pert05,MF_1000_03,3,4643,2998,3000,5.050,60.559,46.633,232000,1024,60,c9662df974
sensitivity,sens_pert05,MF_1000_08,1,4572,2998,3000,2.060,60.344,46.246,232000,1024,60,c9662df974
sensitivity,sens_pert05,MF_1000_08,2,4572,2997,3000,1.980,60.521,46.531,234000,1024,60,c9662df974
sensitivity,sens_pert05,MF_1000_08,3,4572,2999,3000,2.440,60.326,46.639,234000,1024,60,c9662df974
sensitivity,sens_pert2,O_800_03,1,4107,2400,2400,2.930,60.384,44.456,280000,1024,60,48723ba365
sensitivity,sens_pert2,O_800_03,2,4107,2400,2400,2.190,60.439,44.414,272000,1024,60,48723ba365
sensitivity,sens_pert2,O_800_03,3,4107,2400,2400,2.520,60.320,44.117,278000,1024,60,48723ba365
sensitivity,sens_pert2,O_800_08,1,4063,2400,2400,1.250,60.565,44.431,284000,1024,60,48723ba365
sensitivity,sens_pert2,O_800_08,2,4063,2399,2400,1.730,60.627,44.408,280000,1024,60,48723ba365
sensitivity,sens_pert2,O_800_08,3,4063,2400,2400,1.270,60.609,44.202,284000,1024,60,48723ba365
sensitivity,sens_pert2,O_1000_03,1,5178,3000,3000,4.590,60.381,43.336,256000,1024,60,48723ba365
sensitivity,sens_pert2,O_1000_03,2,5178,2999,3000,2.810,60.317,43.017,248000,1024,60,48723ba365
sensitivity,sens_pert2,O_1000_03,3,5178,3000,3000,3.210,60.342,43.187,256000,1024,60,48723ba365
sensitivity,sens_pert2,O_1000_08,1,5191,3000,3000,2.230,60.394,44.072,258000,1024,60,48723ba365
sensitivity,sens_pert2,O_1000_08,2,5191,3000,3000,2.420,60.526,43.818,250000,1024,60,48723ba365
sensitivity,sens_pert2,O_1000_08,3,5191,3000,3000,3.370,60.397,43.734,250000,1024,60,48723ba365
sensitivity,sens_pert2,LK_800_03,1,4257,3058,4000,1.990,60.319,56.170,348000,1024,60,48723ba365
sensitivity,sens_pert2,LK_800_03,2,4257,3071,4000,1.620,60.480,56.329,340000,1024,60,48723ba365
sensitivity,sens_pert2,LK_800_03,3,4257,3048,4000,1.620,60.350,56.337,340000,1024,60,48723ba365
sensitivity,sens_pert2,LK_800_08,1,4156,3046,4000,5.080,61.126,56.100,334000,1024,60,48723ba365
